17/10/23 05:49:26 INFO gcs.GoogleHadoopFileSystemBase: GHFS version: 1.6.1-hadoop2
17/10/23 05:49:27 INFO client.RMProxy: Connecting to ResourceManager at hadoop-cluster-572-hw3-m/10.138.0.2:8032
17/10/23 05:49:28 WARN mapreduce.JobResourceUploader: Hadoop command-line option parsing not performed. Implement the Tool interface and execute your application with ToolRunner to remedy this.
17/10/23 05:49:29 INFO input.FileInputFormat: Total input files to process : 3035
17/10/23 05:49:30 INFO mapreduce.JobSubmitter: number of splits:3035
17/10/23 05:49:30 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1508690163152_0023
17/10/23 05:49:30 INFO impl.YarnClientImpl: Submitted application application_1508690163152_0023
17/10/23 05:49:30 INFO mapreduce.Job: The url to track the job: http://hadoop-cluster-572-hw3-m:8088/proxy/application_1508690163152_0023/
17/10/23 05:49:30 INFO mapreduce.Job: Running job: job_1508690163152_0023
17/10/23 05:49:38 INFO mapreduce.Job: Job job_1508690163152_0023 running in uber mode : false
17/10/23 05:49:38 INFO mapreduce.Job:  map 0% reduce 0%
17/10/23 05:50:14 INFO mapreduce.Job:  map 1% reduce 0%
17/10/23 05:51:07 INFO mapreduce.Job:  map 2% reduce 0%
17/10/23 05:51:54 INFO mapreduce.Job:  map 3% reduce 0%
17/10/23 05:52:47 INFO mapreduce.Job:  map 4% reduce 0%
17/10/23 05:53:36 INFO mapreduce.Job:  map 5% reduce 0%
17/10/23 05:54:24 INFO mapreduce.Job:  map 6% reduce 0%
17/10/23 05:55:12 INFO mapreduce.Job:  map 7% reduce 0%
17/10/23 05:56:02 INFO mapreduce.Job:  map 8% reduce 0%
17/10/23 05:56:47 INFO mapreduce.Job:  map 9% reduce 0%
17/10/23 05:57:38 INFO mapreduce.Job:  map 10% reduce 0%
17/10/23 05:58:25 INFO mapreduce.Job:  map 11% reduce 0%
17/10/23 05:59:12 INFO mapreduce.Job:  map 12% reduce 0%
17/10/23 05:59:58 INFO mapreduce.Job:  map 13% reduce 0%
17/10/23 06:00:49 INFO mapreduce.Job:  map 14% reduce 0%
17/10/23 06:01:38 INFO mapreduce.Job:  map 15% reduce 0%
17/10/23 06:02:24 INFO mapreduce.Job:  map 16% reduce 0%
17/10/23 06:03:13 INFO mapreduce.Job:  map 17% reduce 0%
17/10/23 06:04:04 INFO mapreduce.Job:  map 18% reduce 0%
17/10/23 06:04:46 INFO mapreduce.Job:  map 19% reduce 0%
17/10/23 06:05:36 INFO mapreduce.Job:  map 20% reduce 0%
17/10/23 06:06:21 INFO mapreduce.Job:  map 21% reduce 0%
17/10/23 06:07:09 INFO mapreduce.Job:  map 22% reduce 0%
17/10/23 06:07:56 INFO mapreduce.Job:  map 23% reduce 0%
17/10/23 06:08:40 INFO mapreduce.Job:  map 24% reduce 0%
17/10/23 06:09:26 INFO mapreduce.Job:  map 25% reduce 0%
17/10/23 06:10:10 INFO mapreduce.Job:  map 26% reduce 0%
17/10/23 06:10:56 INFO mapreduce.Job:  map 27% reduce 0%
17/10/23 06:11:44 INFO mapreduce.Job:  map 28% reduce 0%
17/10/23 06:12:26 INFO mapreduce.Job:  map 29% reduce 0%
17/10/23 06:13:12 INFO mapreduce.Job:  map 30% reduce 0%
17/10/23 06:13:58 INFO mapreduce.Job:  map 31% reduce 0%
17/10/23 06:14:43 INFO mapreduce.Job:  map 32% reduce 0%
17/10/23 06:15:27 INFO mapreduce.Job:  map 33% reduce 0%
17/10/23 06:16:12 INFO mapreduce.Job:  map 34% reduce 0%
17/10/23 06:16:56 INFO mapreduce.Job:  map 35% reduce 0%
17/10/23 06:17:43 INFO mapreduce.Job:  map 36% reduce 0%
17/10/23 06:18:26 INFO mapreduce.Job:  map 37% reduce 0%
17/10/23 06:19:14 INFO mapreduce.Job:  map 38% reduce 0%
17/10/23 06:19:55 INFO mapreduce.Job:  map 39% reduce 0%
17/10/23 06:20:45 INFO mapreduce.Job:  map 40% reduce 0%
17/10/23 06:21:28 INFO mapreduce.Job:  map 41% reduce 0%
17/10/23 06:22:14 INFO mapreduce.Job:  map 42% reduce 0%
